sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,mean_Sharpe,std_Sharpe,min_Sharpe,mean_PF,mean_DD,worst_DD,mean_Ret,mean_Trades,mean_WinR,n_folds
1.0,1.0,2.5,4.5,2.0,-0.43350285527221805,0.7731425427121033,-1.573360850561089,0.6442201694824268,-10.684338777970446,-13.553341710500636,-3.33222664778919,9.6,25.21611721611722,5
1.0,1.0,2.5,4.5,3.0,-0.22946605970765352,1.0517971395661954,-1.573360850561089,0.8440297231488664,-9.876337207385872,-13.553341710500636,-1.3003083779287405,8.6,22.857142857142854,5
1.0,1.0,2.5,6.0,2.0,-0.43992530092236015,0.9477800069749495,-1.573360850561089,0.5993537065008326,-10.457784024661727,-13.553341710500636,-3.23679989379706,8.6,28.555555555555554,5
1.0,1.0,2.5,6.0,3.0,-0.2713621160816465,1.237897483433013,-1.573360850561089,0.9295701485569069,-9.697204080777388,-13.553341710500636,-1.386765240083791,7.4,28.055555555555554,5
1.0,1.0,2.5,8.0,2.0,-0.38716207179027967,1.0517686627670988,-1.573360850561089,0.67544226542086,-10.19339868590699,-13.553341710500636,-2.6527629247358093,8.0,29.166666666666664,5
1.0,1.0,2.5,8.0,3.0,-0.08776652985241648,1.543861070861437,-1.573360850561089,0.6404798102458493,-9.352612370153174,-13.553341710500636,0.8170550448837325,6.4,40.55555555555556,5
1.0,1.0,3.5,4.5,2.0,-0.4338982923062213,0.8397289974460304,-1.7420829715560584,0.6583310473053351,-11.083794957010515,-15.045965417530653,-3.3972351894830495,9.6,25.21611721611722,5
1.0,1.0,3.5,4.5,3.0,-0.22384891578903346,1.1240960704231266,-1.7420829715560584,0.8733131038123266,-10.235997587038426,-15.045965417530653,-1.1469734838082382,8.6,20.634920634920633,5
1.0,1.0,3.5,6.0,2.0,-0.439892511389648,0.9928160750618078,-1.7420829715560584,0.617371862319958,-10.856326708164977,-15.045965417530653,-3.2989353591386292,8.6,28.555555555555554,5
1.0,1.0,3.5,6.0,3.0,-0.2668760379940666,1.2937389288528212,-1.7420829715560584,0.9762901288927172,-9.988649584352002,-15.045965417530653,-1.2155747860091686,7.4,25.555555555555554,5
1.0,1.0,3.5,8.0,2.0,-0.38775415739608377,1.0951678572420331,-1.7420829715560584,0.6921460436504242,-10.578181702493147,-15.045965417530653,-2.710686511947729,8.0,29.166666666666664,5
1.0,1.0,3.5,8.0,3.0,-0.09367850925840635,1.5788063978318696,-1.7420829715560584,0.609240291326605,-9.644057873727794,-15.045965417530653,1.0170448479879064,6.4,37.22222222222222,5
1.0,1.0,5.0,6.0,2.0,-0.42912622964571073,0.9718775280669325,-1.7420829715560584,0.6319445092833712,-10.846819903517048,-15.045965417530653,-3.2477161121756914,8.6,28.555555555555554,5
1.0,1.0,5.0,6.0,3.0,-0.23410976040042386,1.2885341852361991,-1.7420829715560584,1.0347451138574226,-10.020606320609128,-15.045965417530653,-0.8501635772935984,7.4,25.555555555555554,5
1.0,1.0,5.0,8.0,2.0,-0.37991370219678694,1.0623853753826344,-1.7420829715560584,0.7086177810221701,-10.568674897845211,-15.045965417530653,-2.663354192256167,8.0,29.166666666666664,5
1.0,1.0,5.0,8.0,3.0,-0.07373430445738105,1.545273332913714,-1.7420829715560584,0.6791521902296743,-9.715197249943587,-15.045965417530653,1.3634357851194507,6.4,37.22222222222222,5
1.0,1.5,2.5,4.5,2.0,-0.3756671652225163,0.8489766899297385,-1.5459430607802709,0.6991744543036913,-11.347784199189219,-15.204426229254647,-3.2936627414752584,9.6,25.21611721611722,5
1.0,1.5,2.5,4.5,3.0,-0.21834207472213266,1.0617030898512387,-1.5459430607802709,0.8702538915854984,-10.781471396562367,-15.204426229254647,-1.6006000510196874,8.6,22.857142857142854,5
1.0,1.5,2.5,6.0,2.0,-0.38323550091119574,1.0259210092412105,-1.5459430607802709,0.6707507233437904,-11.106226356239063,-15.983806274743042,-3.169636986151312,8.6,28.555555555555554,5
1.0,1.5,2.5,6.0,3.0,-0.23448503678925467,1.2822883925286153,-1.5459430607802709,1.0139252437538224,-10.471329918564047,-15.983806274743042,-1.4477542663134522,7.4,28.055555555555554,5
1.0,1.5,2.5,8.0,2.0,-0.3367731187048668,1.1200984808054872,-1.5459430607802709,0.7540318613893934,-10.878022757838755,-15.983806274743042,-2.63122914709599,8.0,29.166666666666664,5
1.0,1.5,2.5,8.0,3.0,-0.05456549258270353,1.5853802940053878,-1.5459430607802709,0.7329638590493416,-10.124915739424129,-15.983806274743042,0.7241542186704593,6.4,40.55555555555556,5
1.0,1.5,3.5,4.5,2.0,-0.37532806865223695,0.9006128865159239,-1.701294983514581,0.7114436359413379,-11.76311160746756,-16.775122918549272,-3.3550317180417437,9.6,25.21611721611722,5
1.0,1.5,3.5,4.5,3.0,-0.2113962118698923,1.1230055452622936,-1.701294983514581,0.8944445160463028,-11.107313518117156,-16.775122918549272,-1.4456802176990524,8.6,20.634920634920633,5
1.0,1.5,3.5,6.0,2.0,-0.3824138165974046,1.0599790571901642,-1.701294983514581,0.6865369981516343,-11.520791079488585,-16.775122918549272,-3.228078787892889,8.6,28.555555555555554,5
1.0,1.5,3.5,6.0,3.0,-0.2295317317270777,1.3287452228499537,-1.701294983514581,1.0562244820183402,-10.778548626015253,-16.775122918549272,-1.2712840793775952,7.4,25.555555555555554,5
1.0,1.5,3.5,8.0,2.0,-0.33662052794298547,1.1536660255086857,-1.701294983514581,0.7682940286579325,-11.278612532783843,-16.775122918549272,-2.6852315396071758,8.0,29.166666666666664,5
1.0,1.5,3.5,8.0,3.0,-0.05985757274952279,1.6131550759788025,-1.701294983514581,0.6974068792186705,-10.432134446875335,-16.775122918549272,0.9299515471951423,6.4,37.22222222222222,5
1.0,1.5,5.0,6.0,2.0,-0.37304145704208863,1.0394384126493994,-1.701294983514581,0.7041971854514675,-11.511605047176886,-16.775122918549272,-3.173951730813671,8.6,28.555555555555554,5
1.0,1.5,5.0,6.0,3.0,-0.197817133319734,1.3259227853329933,-1.701294983514581,1.120425698505652,-10.772378428889446,-16.775122918549272,-0.8999778249352737,7.4,25.555555555555554,5
1.0,1.5,5.0,8.0,2.0,-0.3294881028914284,1.1224258216496334,-1.701294983514581,0.78828664842125,-11.269426500472141,-16.775122918549272,-2.6353741690882977,8.0,29.166666666666664,5
1.0,1.5,5.0,8.0,3.0,-0.04046193727434018,1.581697595173974,-1.701294983514581,0.7772751640405662,-10.504104134253527,-16.775122918549272,1.28137532452848,6.4,37.22222222222222,5
1.0,2.0,2.5,4.5,2.0,-0.36242022796572504,0.8376807194841003,-1.4943752138588804,0.6797712943749072,-11.825479824229458,-15.132405787805164,-3.2326442831589275,9.6,27.438339438339437,5
1.0,2.0,2.5,4.5,3.0,-0.19323781709197757,1.0603371059382605,-1.4943752138588804,0.8692275211364517,-11.332328971687794,-15.132405787805164,-1.3868481685340512,8.6,25.079365079365076,5
1.0,2.0,2.5,6.0,2.0,-0.36856330385250213,1.0077871547297823,-1.4943752138588804,0.6598874138149605,-11.577111275901222,-16.720056972011832,-3.0976365493180045,8.6,30.77777777777778,5
1.0,2.0,2.5,6.0,3.0,-0.20276518679243433,1.2824568217804246,-1.4943752138588804,1.0304752915396818,-10.797487884101137,-16.720056972011832,-1.215104401210521,7.4,30.27777777777778,5
1.0,2.0,2.5,8.0,2.0,-0.3302039802958103,1.1051067158610344,-1.4943752138588804,0.7364301568430095,-11.385763313900812,-16.720056972011832,-2.5981339107507466,8.0,31.388888888888893,5
1.0,2.0,2.5,8.0,3.0,-0.03769719727510541,1.5721804447239556,-1.4943752138588804,0.6388996829385806,-10.41470783810272,-16.720056972011832,0.9204435970299201,6.4,42.77777777777778,5
1.0,2.0,3.5,4.5,2.0,-0.3647414602799318,0.8940038728069811,-1.654010261462455,0.6911542662561067,-12.240807232507791,-16.53437862368581,-3.291760565187137,9.6,25.21611721611722,5
1.0,2.0,3.5,4.5,3.0,-0.18893306539901275,1.125211432446331,-1.654010261462455,0.8963147078640497,-11.6464683095467,-16.53437862368581,-1.2284344685207542,8.6,20.634920634920633,5
1.0,2.0,3.5,6.0,2.0,-0.37034251420547665,1.047293838378246,-1.654010261462455,0.6743930042610771,-11.991736672150397,-16.70067384303613,-3.153728484027441,8.6,28.555555555555554,5
1.0,2.0,3.5,6.0,3.0,-0.2004680488187549,1.332214595828172,-1.654010261462455,1.0770139659720936,-11.107750596164907,-16.70067384303613,-1.0350113522395077,7.4,25.555555555555554,5
1.0,2.0,3.5,8.0,2.0,-0.33248122837065974,1.1434538397049707,-1.654010261462455,0.7501840334131958,-11.786234182807494,-16.70067384303613,-2.6496161967992826,8.0,29.166666666666664,5
1.0,2.0,3.5,8.0,3.0,-0.044432739152397004,1.6044902770459162,-1.654010261462455,0.6316362231193187,-10.722002941623577,-16.70067384303613,1.1303963479160295,6.4,37.22222222222222,5
1.0,2.0,5.0,6.0,2.0,-0.3634283136823632,1.0223420771694085,-1.654010261462455,0.6868967235454555,-11.982680513245922,-16.655393048513766,-3.104467464339551,8.6,28.555555555555554,5
1.0,2.0,5.0,6.0,3.0,-0.17260734782346296,1.3266885635752512,-1.654010261462455,1.135817525502043,-11.098694437260429,-16.655393048513766,-0.6658072490980806,7.4,25.555555555555554,5
1.0,2.0,5.0,8.0,2.0,-0.32739768734816077,1.1089789853922591,-1.654010261462455,0.7634242726179116,-11.777178023903023,-16.655393048513766,-2.6050199205554696,8.0,29.166666666666664,5
1.0,2.0,5.0,8.0,3.0,-0.02794142418347123,1.572050405464308,-1.654010261462455,0.6960768125181885,-10.794605956420082,-16.655393048513766,1.4787745567256103,6.4,37.22222222222222,5
1.5,1.0,2.5,4.5,2.0,-0.23460714999412727,0.7367473176044431,-1.1557964105494916,0.8116039221591332,-9.718590014862599,-11.833498498838381,-1.9338946602674079,8.4,33.61471861471862,5
1.5,1.0,2.5,4.5,3.0,-0.005928932893040218,1.034204185735947,-1.1557964105494916,1.070809884789317,-9.081769162779993,-11.833498498838381,0.7213112093634446,7.4,32.023809523809526,5
1.5,1.0,2.5,6.0,2.0,-0.03130042848004146,0.9893342372409467,-1.2827324256194463,0.9592478367593387,-8.944760980404864,-11.931174301402297,0.10269735538036784,7.0,40.65873015873016,5
1.5,1.0,2.5,6.0,3.0,0.08572252707665377,1.1860989394298336,-1.2827324256194463,1.2899097405574786,-8.474021933825746,-11.931174301402297,1.61912971490155,5.8,39.04761904761905,5
1.5,1.0,2.5,8.0,2.0,-0.13942719724515434,0.866235232208959,-1.2827324256194463,0.7778116379045894,-9.307601198679984,-11.931174301402297,-1.0857447148859367,7.0,40.222222222222214,5
1.5,1.0,2.5,8.0,3.0,0.15976028196706893,1.3858211991379152,-1.2827324256194463,0.731902245487376,-8.035371771036184,-11.931174301402297,2.428594081674807,5.2,48.0,5
1.5,1.0,3.5,4.5,2.0,-0.22400657418006897,0.7573187982963024,-1.1032227204355816,0.8286492056197637,-9.988027827805462,-11.833498498838381,-1.8691908987767092,8.4,33.61471861471862,5
1.5,1.0,3.5,4.5,3.0,0.045059068264735914,1.1029513182342092,-1.1032227204355816,1.1432376242041085,-9.351206975722862,-11.833498498838381,1.3777036602327832,7.4,32.023809523809526,5
1.5,1.0,3.5,6.0,2.0,-0.03261505597214916,0.9890333998819254,-1.2289021369784414,0.9681219743075541,-9.266307239409368,-11.833498498838381,0.09778933744780183,7.0,40.65873015873016,5
1.5,1.0,3.5,6.0,3.0,0.12774048046085004,1.2303362024135753,-1.2289021369784414,1.3827945771759134,-8.792602782068931,-11.833498498838381,2.2083323485995643,5.8,39.04761904761905,5
1.5,1.0,3.5,8.0,2.0,-0.1556809812322832,0.8397136276020317,-1.2289021369784414,0.7807274828567599,-9.645294809984566,-11.833498498838381,-1.2864416861987054,7.0,40.222222222222214,5
