sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,tr_n_trades,tr_winrate,tr_PF,tr_total_ret,tr_CAGR,tr_Sharpe,tr_Sortino,tr_MaxDD,tr_avg_bars,te_n_trades,te_winrate,te_PF,te_total_ret,te_CAGR,te_Sharpe,te_Sortino,te_MaxDD,te_avg_bars
2.5,2.0,2.5,6.0,3.0,20,55.00000000000001,1.3964901171208841,8.81723217487047,4.247213528249416,0.4472849593302106,0.46871942530074195,-9.007989321470006,24.3,11,45.45454545454545,1.2657738445262423,3.954621422648863,4.557858766636658,0.460630893443875,0.49836176023925133,-8.411394381152009,18.818181818181817
2.5,2.0,3.5,6.0,3.0,20,50.0,1.4294315917909068,8.91770857581573,4.294584838796323,0.4376475354148289,0.4622898979083119,-8.36770346119351,24.3,11,45.45454545454545,1.356473733345347,5.159771839079852,5.952039544850751,0.56844900898449,0.6251363158820253,-8.41139438115199,18.818181818181817
2.5,2.0,5.0,6.0,3.0,20,50.0,1.3444813545678362,7.015926731628697,3.394158506811462,0.3472974682180399,0.3678313231534017,-10.279602704932179,24.3,11,45.45454545454545,1.3234000133164066,4.672221212623229,5.387726918488345,0.5138247647959632,0.5719972305978872,-8.411394381151991,18.818181818181817
2.5,1.5,2.5,6.0,3.0,20,55.00000000000001,1.2740702172340013,6.111542526000435,2.9631144955539757,0.3441147875853482,0.3593633188015695,-9.804141030457536,24.3,11,45.45454545454545,1.189617409974837,2.9695697606526794,3.420088033337332,0.36572050227654335,0.3866776328563495,-8.41437460828429,18.818181818181817
2.5,1.5,3.5,6.0,3.0,20,50.0,1.3040457358228805,6.209597551648782,3.009939019447705,0.3374644893101195,0.3550553979421482,-9.168391463488232,24.3,11,45.45454545454545,1.2794585640798637,4.165334200367288,4.8014491595653075,0.47807023564649537,0.5142057279568044,-8.414374608284334,18.818181818181817
