sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,mean_Sh,std_Sh,min_Sh,mean_PF,mean_DD,worst_DD,mean_Ret,n_trades,n_folds
1.0,1.0,2.5,4.5,2.0,0.060355497677154424,1.3968580738898806,-4.144824624672133,1.0862299611390511,-7.417731703263083,-13.553341710500636,0.0439788668548721,246,24
1.0,1.0,2.5,4.5,3.0,0.18936228489419057,1.419823796016882,-4.144824624672133,1.1938700599211478,-7.318976285805948,-13.553341710500636,0.9454144509445556,227,24
1.0,1.0,2.5,6.0,2.0,0.11359793560457228,1.4303554005030816,-4.29325677842796,1.0868745533242066,-7.432872047784905,-13.784390247159129,0.5003974910526671,218,24
1.0,1.0,2.5,6.0,3.0,0.17060477716919523,1.455134437120909,-4.29325677842796,1.175900480921804,-7.327064163866872,-13.784390247159129,1.1302987060921523,203,24
1.0,1.0,2.5,8.0,2.0,0.1568619614477248,1.5591363084076975,-4.29325677842796,1.1930039555475513,-7.480911354152435,-13.784390247159129,0.7709386209372271,196,24
1.0,1.0,2.5,8.0,3.0,0.2843306420047706,1.5972036836883072,-4.29325677842796,1.2298981661007407,-7.277874977682349,-13.784390247159129,1.9100355114443373,178,24
1.0,1.0,3.5,4.5,2.0,0.10195495899787271,1.4136924066799732,-4.073074437383701,1.1271455226230016,-7.5186485927072555,-15.045965417530653,0.31218988628161876,246,24
1.0,1.0,3.5,4.5,3.0,0.22878956607974021,1.435996994645966,-4.073074437383701,1.235422367154512,-7.428945378577173,-15.045965417530653,1.2820910199766444,227,24
1.0,1.0,3.5,6.0,2.0,0.15915741116344584,1.4425260765180725,-4.220947967307651,1.126233694443636,-7.523945748442756,-15.045965417530653,0.7811064574585475,218,24
1.0,1.0,3.5,6.0,3.0,0.22493134847633947,1.4773997654765876,-4.220947967307651,1.2351384713356957,-7.386527393490405,-15.045965417530653,1.500605575437634,203,24
1.0,1.0,3.5,8.0,2.0,0.20403353816220082,1.5735017544269339,-4.220947967307651,1.2371119181642403,-7.537308023738508,-15.045965417530653,1.0368159823231544,196,24
1.0,1.0,3.5,8.0,3.0,0.3324323115844588,1.6112593760067924,-4.220947967307651,1.2704931362308518,-7.339254945482601,-15.045965417530653,2.28947203270946,178,24
1.0,1.0,5.0,6.0,2.0,0.1732199382019545,1.4131005884202212,-4.061070595600638,1.1542541529657977,-7.599242798844895,-15.045965417530653,1.0353278429829216,218,24
1.0,1.0,5.0,6.0,3.0,0.24537059165443043,1.4358400355246084,-4.061070595600638,1.2779218426086099,-7.464643575163684,-15.045965417530653,1.8981819723096336,203,24
1.0,1.0,5.0,8.0,2.0,0.22133720543191995,1.5409045706198865,-4.061070595600638,1.2719299997687807,-7.604381319490128,-15.045965417530653,1.296615708853045,196,24
1.0,1.0,5.0,8.0,3.0,0.36689135275843493,1.5762133729499797,-4.061070595600638,1.3305620032108265,-7.390969159708398,-15.045965417530653,2.7475254397459303,178,24
1.0,1.5,2.5,4.5,2.0,0.0924317786847994,1.4157473929249467,-4.262460827489887,1.1136452532736183,-7.783080581063984,-15.204426229254647,0.2768802016600056,246,24
