sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,mean_Sharpe,std_Sharpe,min_Sharpe,mean_PF,mean_DD,worst_DD,mean_Ret,mean_Trades,mean_WinR,n_folds
1.0,1.0,2.5,4.5,2.0,0.45463805862733786,1.2513654450814642,-0.6137922386955038,1.4515290166228376,-6.912630700629497,-10.321923209310164,2.6351291842851046,10.6,35.30905695611578,5
1.0,1.0,2.5,4.5,3.0,0.5775743478377937,1.263661233402829,-0.540780188961455,1.6090322883663202,-7.48187373853077,-12.311192662084792,3.588404670623575,9.6,34.24603174603175,5
1.0,1.0,2.5,6.0,2.0,0.9736553127380393,1.1061749306337676,-0.11998932219402106,1.9238470823084293,-6.679989406021744,-10.321923209310164,6.658319482669609,8.8,40.317460317460316,5
1.0,1.0,2.5,6.0,3.0,1.016434887612026,1.1539659388635757,-0.2991089903902018,1.9957319473023447,-7.193902568182504,-12.311192662084792,7.148278107831009,8.2,35.082417582417584,5
1.0,1.0,2.5,8.0,2.0,0.843795238991567,1.2029248652957343,-0.20377663547293662,2.0432133512753494,-7.482609306667354,-10.321923209310164,5.820881390069637,7.2,40.15384615384615,5
1.0,1.0,2.5,8.0,3.0,0.9119945446424012,1.1240824098526405,-0.3821658169676633,1.9427367693049171,-7.708192414599037,-12.311192662084792,6.470284107736397,6.2,28.666666666666664,5
1.0,1.0,3.5,4.5,2.0,0.4990751171860256,1.2921826613469458,-0.5454321612184602,1.5086025430379948,-6.915408940331636,-10.321923209310164,3.1000592992683074,10.6,35.30905695611578,5
1.0,1.0,3.5,4.5,3.0,0.6348148188942909,1.307829184789923,-0.5036965803875197,1.6857555820917018,-7.6378691529053295,-12.311192662084792,4.175189277975888,9.6,30.496031746031747,5
1.0,1.0,3.5,6.0,2.0,1.0065512879210297,1.1220521975733981,-0.08296155522378992,1.9847443749430274,-6.629578483216767,-10.321923209310164,7.131735456918564,8.8,40.317460317460316,5
1.0,1.0,3.5,6.0,3.0,1.0379745090445625,1.1759686694134757,-0.26313662071159655,2.065574811399776,-7.193358730717651,-12.311192662084792,7.689108664825187,8.2,31.04395604395604,5
1.0,1.0,3.5,8.0,2.0,0.8698729940531778,1.2466440469414906,-0.1660752882014799,2.11406131297204,-7.430436636021791,-10.321923209310164,6.181920285907953,7.2,40.15384615384615,5
1.0,1.0,3.5,8.0,3.0,0.9817647870584205,1.1479381267647464,-0.34569336776672865,2.0521035423321257,-7.706397460663228,-12.311192662084792,7.265354459346902,6.2,28.666666666666664,5
1.0,1.0,5.0,6.0,2.0,1.0348911061198103,1.1051026824958914,-0.026348905552140398,2.0887647225477535,-6.869480855408389,-10.321923209310164,7.982394948222139,8.8,40.317460317460316,5
1.0,1.0,5.0,6.0,3.0,1.0880359102636932,1.0930625743662792,-0.2061157867075584,2.1977708518194565,-7.312241091728334,-12.311192662084792,8.838062452460617,8.2,31.04395604395604,5
1.0,1.0,5.0,8.0,2.0,0.8861296202039448,1.1991385738487084,-0.2050547576500097,2.2167862333147346,-7.663269667007936,-10.321923209310164,6.8646177522108385,7.2,40.15384615384615,5
1.0,1.0,5.0,8.0,3.0,1.0290968224466368,1.069737099027602,-0.2869123571516878,2.1920528510923694,-7.784390083847313,-12.311192662084792,8.338209933134252,6.2,28.666666666666664,5
1.0,1.5,2.5,4.5,2.0,0.5532013411827442,1.18154021213399,-0.5455834873183518,1.5019997490507764,-6.8496028958369894,-10.08331822290194,3.5864376815602705,10.6,35.30905695611578,5
1.0,1.5,2.5,4.5,3.0,0.6657166696718728,1.1965119779996807,-0.46446361667487235,1.685838441326363,-7.580567568325776,-12.070715200907728,4.508081360779747,9.6,34.24603174603175,5
1.0,1.5,2.5,6.0,2.0,1.0494560686081695,1.07182673168349,-0.08682606713398996,1.9697627473216115,-6.542997716606699,-10.08331822290194,7.470179795138866,8.8,40.317460317460316,5
1.0,1.5,2.5,6.0,3.0,1.1150293047248128,1.1636316622725082,-0.24677517295552873,2.148009719603883,-7.1368346648196646,-12.070715200907728,8.094234577484974,8.2,35.082417582417584,5
1.0,1.5,2.5,8.0,2.0,0.9347045762082364,1.1844455053605518,-0.08481966458276144,2.225476213069982,-7.50125237590226,-10.08331822290194,6.739554058466453,7.2,40.15384615384615,5
1.0,1.5,2.5,8.0,3.0,0.9664204686444571,1.1126823722338526,-0.2525343221730719,2.0640563036916686,-7.806201541984831,-12.070715200907728,7.099550203794271,6.2,28.666666666666664,5
1.0,1.5,3.5,4.5,2.0,0.5944553355351537,1.2210431511625817,-0.4828805830981033,1.5541617513753263,-6.902239734619238,-10.08331822290194,4.0522414752404385,10.6,35.30905695611578,5
1.0,1.5,3.5,4.5,3.0,0.719427384227125,1.2420439954398548,-0.44137023109148005,1.7617113060308938,-7.736306413338052,-12.070715200907728,5.097692387478158,9.6,30.496031746031747,5
1.0,1.5,3.5,6.0,2.0,1.0802194035613772,1.090376060261583,-0.05444724541224617,2.0284018897637655,-6.502654864399624,-10.08331822290194,7.945248236177139,8.8,40.317460317460316,5
1.0,1.5,3.5,6.0,3.0,1.133430410788445,1.1858295345460206,-0.21510561970929373,2.2206594535333375,-7.136292344046192,-12.070715200907728,8.638099702643553,8.2,31.04395604395604,5
1.0,1.5,3.5,8.0,2.0,0.9592682888240637,1.2298751476937975,-0.05084310921950047,2.299167370672957,-7.448949018999936,-10.08331822290194,7.103254452824015,7.2,40.15384615384615,5
1.0,1.5,3.5,8.0,3.0,1.0342420240980459,1.1366111978240374,-0.2194649227140062,2.1760639251553813,-7.804414764809327,-12.070715200907728,7.896942107911684,6.2,28.666666666666664,5
1.0,1.5,5.0,6.0,2.0,1.1071220646061366,1.0831754097356467,-0.0051013955300868875,2.1285659712860103,-6.791092896501475,-10.08331822290194,8.799713574024794,8.8,40.317460317460316,5
1.0,1.5,5.0,6.0,3.0,1.1785647814262772,1.1073076071951493,-0.16541919028270616,2.358405638137686,-7.255009173853627,-12.070715200907728,9.795080923153694,8.2,31.04395604395604,5
1.0,1.5,5.0,8.0,2.0,0.9726826477015639,1.1840438642942421,-0.08035645408450409,2.4048076373636498,-7.68209749391536,-10.08331822290194,7.788997939061337,7.2,40.15384615384615,5
1.0,1.5,5.0,8.0,3.0,1.0792119124610782,1.058956586063331,-0.16749202529931378,2.319974506570381,-7.882302018608565,-12.070715200907728,8.972423463707544,6.2,28.666666666666664,5
1.0,2.0,2.5,4.5,2.0,0.5116933023262298,1.218898889293543,-0.6450296956448722,1.5051906083638313,-7.560397629253069,-11.823421056968012,3.3510088223478802,10.6,35.30905695611578,5
1.0,2.0,2.5,4.5,3.0,0.6154720674499721,1.2344027840786376,-0.5687849785067757,1.6738214573358376,-8.238785393876054,-13.765380829013067,4.234234143347144,9.6,34.24603174603175,5
1.0,2.0,2.5,6.0,2.0,0.9853717485124083,1.1468205718560653,-0.17506096146301847,1.964032132735029,-7.162718581736979,-11.823421056968012,7.145229805731755,8.8,40.317460317460316,5
1.0,2.0,2.5,6.0,3.0,1.0397572795997925,1.212199979114268,-0.3249600035089638,2.1454150904497835,-7.784183259927024,-13.765380829013067,7.7242063421001905,8.2,35.082417582417584,5
1.0,2.0,2.5,8.0,2.0,0.8849684967579282,1.2281558965752137,-0.20205146862702245,2.3517826479960475,-8.084649765273332,-11.823421056968012,6.4961196827932115,7.2,40.15384615384615,5
1.0,2.0,2.5,8.0,3.0,0.9254435360215549,1.1407789746493322,-0.357945265972807,2.187909294988418,-8.463459393142127,-13.765380829013067,6.937777515985166,6.2,28.666666666666664,5
1.0,2.0,3.5,4.5,2.0,0.5509165266891107,1.2543699500617327,-0.5848451165455012,1.5561823043615965,-7.516758435859067,-11.823421056968012,3.8171790820747886,10.6,35.30905695611578,5
1.0,2.0,3.5,4.5,3.0,0.6678919894328624,1.2770962845203595,-0.5439445403410944,1.7505614781915617,-8.393091438416636,-13.765380829013067,4.825188587714611,9.6,30.496031746031747,5
1.0,2.0,3.5,6.0,2.0,1.0164806041204337,1.1645667770861348,-0.14415671581195777,2.020501396490647,-7.161032542433757,-11.823421056968012,7.619557763644475,8.8,40.317460317460316,5
1.0,2.0,3.5,6.0,3.0,1.0622535806865345,1.2376353627735261,-0.29467177031150366,2.2271441762028976,-7.783642449508972,-13.765380829013067,8.270727971590443,8.2,31.04395604395604,5
1.0,2.0,3.5,8.0,2.0,0.9100997684244565,1.2724954008254856,-0.16967975711681121,2.4299885271406145,-8.032601694884056,-11.823421056968012,6.862086303713485,7.2,40.15384615384615,5
1.0,2.0,3.5,8.0,3.0,0.9915442431708603,1.1626121846136863,-0.32635572169835414,2.3025969530806556,-8.46169130071554,-13.765380829013067,7.733375132489502,6.2,28.666666666666664,5
1.0,2.0,5.0,6.0,2.0,1.0469914955757833,1.1574150079753105,-0.0962699942699154,2.1155915371005944,-7.447385489564256,-11.823421056968012,8.469889263873904,8.8,40.317460317460316,5
1.0,2.0,5.0,6.0,3.0,1.1112233257792847,1.168828071084358,-0.24655736552847182,2.3590677928592907,-7.902194208441384,-13.765380829013067,9.421246051930044,8.2,31.04395604395604,5
1.0,2.0,5.0,8.0,2.0,0.9272028361726757,1.2356183966984486,-0.11926480692260955,2.5393712075449018,-8.26489108172521,-11.823421056968012,7.545987509132615,7.2,40.15384615384615,5
1.0,2.0,5.0,8.0,3.0,1.0400598477271719,1.0961737992587777,-0.275842205186558,2.4505275894384253,-8.539489152635209,-13.765380829013067,8.805290481163345,6.2,28.666666666666664,5
1.5,1.0,2.5,4.5,2.0,0.3926060643517163,0.827599716169905,-0.3575857308385622,1.2854860080512975,-7.861093308993164,-10.883852324156122,2.2259411556272113,9.4,42.358974358974365,5
1.5,1.0,2.5,4.5,3.0,0.5334480546622296,0.8471701234773309,-0.3575857308385622,1.3776723352262306,-7.54423333054429,-10.883852324156122,3.671294677037853,8.6,41.38888888888889,5
1.5,1.0,2.5,6.0,2.0,0.7456519256273422,1.028350080983056,-0.23424392943078398,1.5824862611487114,-7.878938789725463,-10.883852324156122,5.162326885667099,8.2,42.22222222222222,5
1.5,1.0,2.5,6.0,3.0,0.8020009693797633,1.0423347882882206,-0.11431095521145865,1.6773271868656547,-7.538215828076986,-10.883852324156122,6.008285901843509,7.6,40.01082251082251,5
1.5,1.0,2.5,8.0,2.0,0.9020165541747627,1.188031808622548,-0.39876600345576235,2.18496884896827,-8.024295455644834,-11.135820483060925,6.89543338175171,5.8,49.28571428571429,5
1.5,1.0,2.5,8.0,3.0,0.9304147025413488,1.027451075047738,-0.12735374229933696,2.0103487176857664,-7.5339302350845525,-10.883852324156122,7.335547162926915,5.2,41.0,5
