sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,mean_Sharpe,std_Sharpe,min_Sharpe,mean_PF,mean_DD,worst_DD,mean_Ret,mean_Trades,mean_WinR,n_folds
1.5,2.0,3.5,8.0,3.0,0.31682937001164285,1.4088580513167037,-1.1049816576990579,1.0081969846226424,-8.816600650820098,-12.967578277075306,4.372199566760273,5.2,48.0,5
1.5,2.0,5.0,8.0,3.0,0.31365219125750954,1.3481214847480951,-1.0391644931109627,1.0202785604120017,-8.888400998439453,-12.967578277075306,4.571546900564751,5.2,48.0,5
1.5,2.0,5.0,6.0,3.0,0.29149858487953706,1.2531379421951703,-1.0391644931109627,1.66753864966442,-9.400999519779742,-12.967578277075306,4.1169360523424965,5.8,39.04761904761905,5
2.5,2.0,5.0,6.0,3.0,0.2873526369524605,1.269453000259112,-0.9149527803918054,2.3413214781572274,-9.514455076947435,-12.395152010722486,4.307908382690376,5.0,50.71428571428571,5
2.5,1.5,5.0,6.0,3.0,0.2597718706623402,1.2299933668321565,-0.812496185274682,2.150509164660636,-9.229706181737566,-12.649087046222284,3.8546409435244215,5.0,46.71428571428571,5
1.5,2.0,3.5,6.0,3.0,0.25698043759709854,1.2397361843478794,-1.1049816576990579,1.5947153928527809,-9.415268950538907,-12.967578277075306,3.547747227642275,5.8,39.04761904761905,5
2.5,2.0,3.5,6.0,3.0,0.24334213216781525,1.2416931099673267,-0.968832933145337,2.1893216975762466,-9.645798071218163,-12.395152010722486,3.6188804349955683,5.0,50.71428571428571,5
1.5,1.5,5.0,6.0,3.0,0.24057951518733978,1.2383184144332275,-1.0385010375707429,1.5567323179891255,-9.18578433970545,-11.607936454613077,3.500028032695768,5.8,39.04761904761905,5
2.5,2.0,2.5,6.0,3.0,0.22432945870693216,1.2033589163740248,-1.02375096761235,2.1162077455903185,-9.434190440233328,-12.058738383349693,3.2432786215952154,5.0,50.71428571428571,5
1.5,2.0,2.5,6.0,3.0,0.22052089585730936,1.1930617830863557,-1.1502138938771387,1.4960950227447445,-9.085337130080923,-12.967578277075306,2.943149905234143,5.8,41.904761904761905,5
