sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,mean_Sharpe,std_Sharpe,min_Sharpe,mean_PF,mean_DD,worst_DD,mean_Ret,mean_Trades,mean_WinR,n_folds
1.0,1.0,2.5,4.5,2.0,0.38513718744061354,1.0851228906133452,-0.49524050774002704,1.2904570927827894,-6.49757951597392,-10.822982837783703,1.8452596300410646,10.8,35.78787878787879,5
1.0,1.0,2.5,4.5,3.0,0.5187690231059271,0.9836229684776243,-0.47826251533723924,1.4326686653136753,-6.23989933277748,-10.822982837783703,2.622373937188372,9.8,34.57936507936508,5
1.0,1.0,2.5,6.0,2.0,0.1088253038090012,0.8727556208480058,-0.720869910575834,1.0096428708179932,-7.012366181392196,-12.647991321407478,-0.10147625170130876,9.8,30.534798534798533,5
1.0,1.0,2.5,6.0,3.0,0.2639808647566342,0.8456883502632001,-0.7106421245642299,1.1433805911739414,-6.728742408223724,-12.647991321407478,0.8059050702262759,8.6,29.368131868131865,5
1.0,1.0,2.5,8.0,2.0,0.29462558313079146,1.223342117126322,-0.720869910575834,1.2640579076875453,-6.9455113761479454,-12.647991321407478,0.8223406270413541,8.6,30.21645021645021,5
1.0,1.0,2.5,8.0,3.0,0.4972842912410066,1.1053837571454792,-0.7106421245642299,1.4408170242365128,-6.562578742293164,-12.647991321407478,2.048013398199322,7.8,27.716450216450216,5
1.0,1.0,3.5,4.5,2.0,0.41442447647939284,1.0909970983578121,-0.4351532657721266,1.337893685566349,-6.549341338421101,-10.822982837783664,2.2159938494085085,10.8,35.78787878787879,5
1.0,1.0,3.5,4.5,3.0,0.5432601976292037,1.0197896899450918,-0.4890524173321843,1.4840499316258007,-6.197921497135595,-10.822982837783664,2.971995916689239,9.8,31.246031746031747,5
1.0,1.0,3.5,6.0,2.0,0.14543634500581515,0.8723593327549126,-0.6673878824501932,1.0512401960599367,-7.071349745263722,-12.634185735673883,0.21626121910162777,9.8,30.534798534798533,5
1.0,1.0,3.5,6.0,3.0,0.30437589936355214,0.8913436335377453,-0.6581169037883632,1.1937196053190058,-6.693225805719052,-12.634185735673883,1.1352615440053924,8.6,26.868131868131865,5
1.0,1.0,3.5,8.0,2.0,0.3344937013993265,1.2362194607935508,-0.6673878824501932,1.319318243015346,-6.941107466861482,-12.634185735673883,1.1754074206579923,8.6,30.21645021645021,5
1.0,1.0,3.5,8.0,3.0,0.5239297979292065,1.1363823707003662,-0.6581169037883632,1.4860712061400898,-6.55841816512738,-12.634185735673883,2.30385349410438,7.8,25.216450216450216,5
1.0,1.0,5.0,6.0,2.0,0.1793838904959554,0.8939589597952912,-0.5978458228132241,1.100756130060528,-7.066141823845447,-12.613677922196848,0.5448129702894411,9.8,28.31257631257631,5
1.0,1.0,5.0,6.0,3.0,0.3483590443523329,0.8571563172030802,-0.5896069216743317,1.2695681098074327,-6.781106184678114,-12.613677922196848,1.6127994407362902,8.6,26.868131868131865,5
1.0,1.0,5.0,8.0,2.0,0.3860513297445007,1.2736498621437915,-0.5978458228132241,1.395950502013863,-6.934554672855134,-12.613677922196848,1.6310171513407035,8.6,27.99422799422799,5
1.0,1.0,5.0,8.0,3.0,0.6093884576654808,1.1515630380932784,-0.5896069216743317,1.6010966977252081,-6.552230468069783,-12.613677922196848,3.014220626210014,7.8,25.216450216450216,5
1.0,1.5,2.5,4.5,2.0,0.3839341128817445,1.1025531912560267,-0.5609084512863075,1.3264610739821499,-6.87366370144491,-10.518432914182915,2.079904671343898,10.8,35.78787878787879,5
1.0,1.5,2.5,4.5,3.0,0.5238049015467231,0.9800798144515934,-0.43868061085763504,1.455906711532227,-6.43208526086841,-10.518432914182915,2.939321200234468,9.8,34.57936507936508,5
1.0,1.5,2.5,6.0,2.0,0.11606794834584858,0.8594364358295074,-0.5873322822631728,1.0257146390444158,-7.338485636428215,-12.33976817655117,0.09434286960938731,9.8,30.534798534798533,5
1.0,1.5,2.5,6.0,3.0,0.27454841914771533,0.7963937124236852,-0.5790361423939369,1.1386247970684684,-6.8712155297307955,-12.33976817655117,1.0731025305205466,8.6,29.368131868131865,5
1.0,1.5,2.5,8.0,2.0,0.27920625030972535,1.196453669193497,-0.65897671987482,1.3033845526488612,-7.305174378674169,-12.33976817655117,0.9227401190962704,8.6,30.21645021645021,5
1.0,1.5,2.5,8.0,3.0,0.4826219384787949,1.056635738678253,-0.5790361423939369,1.4568801048245088,-6.688367318593286,-12.33976817655117,2.2183101604083277,7.8,27.716450216450216,5
1.0,1.5,3.5,4.5,2.0,0.41335085589352855,1.1106224849810433,-0.49345413449540965,1.3742976504981286,-6.9254891154677285,-10.518432914182894,2.452270525592999,10.8,35.78787878787879,5
1.0,1.5,3.5,4.5,3.0,0.5484188430045212,1.0185906857509064,-0.5533114894497606,1.5109148669405763,-6.3901100975158185,-10.518432914182894,3.2915134230817467,9.8,31.246031746031747,5
1.0,1.5,3.5,6.0,2.0,0.15246546050377607,0.8676358020050196,-0.5368104913351065,1.0680876724677417,-7.397152854417565,-12.32599238676328,0.414062867165441,9.8,30.534798534798533,5
1.0,1.5,3.5,6.0,3.0,0.31397884433215534,0.8470555498014473,-0.5293418841693022,1.185079419257586,-6.835914756317644,-12.32599238676328,1.4036529291312765,8.6,26.868131868131865,5
1.0,1.5,3.5,8.0,2.0,0.31885361109875976,1.2117413319686325,-0.6961248623746266,1.359683962802857,-7.300796928309099,-12.32599238676328,1.2767458027706733,8.6,30.21645021645021,5
1.0,1.5,3.5,8.0,3.0,0.5093312407784834,1.0882804868589118,-0.5293418841693022,1.4999244630462039,-6.684221802615037,-12.32599238676328,2.4743443753392436,7.8,25.216450216450216,5
1.0,1.5,5.0,6.0,2.0,0.18445521574434565,0.8876800012727106,-0.47054718666908973,1.1139948902334602,-7.391963636007803,-12.305528282056,0.7433006928348782,9.8,28.31257631257631,5
1.0,1.5,5.0,6.0,3.0,0.35773232284835166,0.8143264720653843,-0.46312290335187734,1.2568314678136503,-6.9232151193677485,-12.305528282056,1.88096064602679,8.6,26.868131868131865,5
1.0,1.5,5.0,8.0,2.0,0.3695602397966854,1.2499070693723866,-0.651207106308864,1.4337496950160507,-7.2942834499862865,-12.305528282056,1.7327582584817431,8.6,27.99422799422799,5
1.0,1.5,5.0,8.0,3.0,0.5932904720924264,1.1033363595158578,-0.46312290335187734,1.6118872116116691,-6.678056393360447,-12.305528282056,3.184153199680892,7.8,25.216450216450216,5
1.0,2.0,2.5,4.5,2.0,0.3098412684843363,1.1272287683166842,-0.6451468134569825,1.3021001132769876,-7.59575642599893,-12.054685630815124,1.6934355663293374,10.8,35.78787878787879,5
1.0,2.0,2.5,4.5,3.0,0.43870792310129747,1.0188466715787592,-0.5357770512298891,1.400231032662669,-7.194472566687388,-12.054685630815124,2.5114673337644677,9.8,34.57936507936508,5
1.0,2.0,2.5,6.0,2.0,0.03528745534190567,0.8699041604162244,-0.7425422780488238,0.9894284809724792,-8.051753603648159,-13.835069869350408,-0.5448830873429825,9.8,30.534798534798533,5
1.0,2.0,2.5,6.0,3.0,0.20510290011076435,0.8131200466752343,-0.7330424985552626,1.105773872116239,-7.503623730916649,-13.835069869350408,0.5510534023677227,8.6,29.368131868131865,5
1.0,2.0,2.5,8.0,2.0,0.19109820798947968,1.181156889608503,-0.7425422780488238,1.218586328016674,-8.061475151999872,-13.835069869350408,0.31333151372200163,8.6,30.21645021645021,5
1.0,2.0,2.5,8.0,3.0,0.40566853510370765,1.0549107074760304,-0.7330424985552626,1.3746140731325398,-7.343802288603212,-13.835069869350408,1.7276021197108542,7.8,27.716450216450216,5
1.0,2.0,3.5,4.5,2.0,0.3390944639529786,1.1367763857901545,-0.5848797214398738,1.3459830041923162,-7.647470481501979,-12.054685630815117,2.064464983996017,10.8,35.78787878787879,5
1.0,2.0,3.5,4.5,3.0,0.4664447137667431,1.0544607268267518,-0.6376044905425555,1.451772635149466,-7.152641580975183,-12.054685630815117,2.8638794342256046,9.8,31.246031746031747,5
1.0,2.0,3.5,6.0,2.0,0.07108230692786939,0.8806363988270969,-0.6939614259119453,1.026940825227908,-8.110358342753806,-13.821605581751323,-0.2281940913787331,9.8,30.534798534798533,5
1.0,2.0,3.5,6.0,3.0,0.24567167025604544,0.8639140732007302,-0.6851906479801666,1.1499522721277744,-7.468506630279163,-13.821605581751323,0.8813717382675152,8.6,26.868131868131865,5
1.0,2.0,3.5,8.0,2.0,0.23032049864720303,1.200157168011654,-0.7071400318012594,1.2677704839544437,-8.057181190613978,-13.821605581751323,0.6644186460088839,8.6,30.21645021645021,5
1.0,2.0,3.5,8.0,3.0,0.4348214637722263,1.0900231371077453,-0.6851906479801666,1.4147143039744645,-7.339735403268011,-13.821605581751323,1.9838382074726433,7.8,25.216450216450216,5
